Date;head
01.01.2005T00:00:00+00:00;-19.28
01.02.2005T00:00:00+00:00;-19.75
01.03.2005T00:00:00+00:00;-19.69
01.04.2005T00:00:00+00:00;-19.32
01.05.2005T00:00:00+00:00;-19.35
01.06.2005T00:00:00+00:00;-19.4
01.07.2005T00:00:00+00:00;-19.62
01.08.2005T00:00:00+00:00;-19.71
01.09.2005T00:00:00+00:00;-19.77
01.10.2005T00:00:00+00:00;-19.74
01.11.2005T00:00:00+00:00;-19.82
01.12.2005T00:00:00+00:00;-19.85
01.01.2006T00:00:00+00:00;-19.87
01.02.2006T00:00:00+00:00;-19.95
01.03.2006T00:00:00+00:00;-19.94
01.04.2006T00:00:00+00:00;-19.83
01.05.2006T00:00:00+00:00;-20.07
01.06.2006T00:00:00+00:00;-19.35
01.07.2006T00:00:00+00:00;-20.33
01.08.2006T00:00:00+00:00;-20.51
01.09.2006T00:00:00+00:00;-20.71
01.10.2006T00:00:00+00:00;-20.88
01.11.2006T00:00:00+00:00;-20.86
01.12.2006T00:00:00+00:00;-20.95
01.01.2007T00:00:00+00:00;-21
01.02.2007T00:00:00+00:00;-20.98
01.03.2007T00:00:00+00:00;-21.25
01.04.2007T00:00:00+00:00;-21.25
01.05.2007T00:00:00+00:00;-19.33
01.06.2007T00:00:00+00:00;-21.25
01.07.2007T00:00:00+00:00;-21.25
01.08.2007T00:00:00+00:00;-21.25
01.09.2007T00:00:00+00:00;-21.25
01.10.2007T00:00:00+00:00;-21.25
01.11.2007T00:00:00+00:00;-21.25
01.12.2007T00:00:00+00:00;-21.25
